file_name,gpx_time,rec_num,name,latitude,longitude,elevation,used_max_elevation,comment,description,symbol,gps_quality,x_3794,y_3794
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,123,K16,46.257285979,13.774323883,,0,K16,"K16: SLO(405505.9,405505.9)",Waypoint,2,405506,124902
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,122,K17,46.261574915,13.767864956,,0,K17,"K17: SLO(405015.3,405015.3)",Waypoint,2,405015,125386
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,121,K18,46.261634845,13.767714920,,0,K18,"K18: SLO(405003.9,405003.9)",Waypoint,2,405004,125393
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,120,K19,46.257595858,13.771314947,,0,K19,"K19: SLO(405274.4,405274.4)",Waypoint,2,405274,124940
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,119,K2,46.259894930,13.766124872,1920.3,1,K2,"K2: SLO(404878.3,404878.3)",Waypoint,2,404878,125202
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,118,K20,46.256855903,13.771424918,,0,K20,"K20: SLO(405281.6,405281.6)",Waypoint,2,405282,124858
Peter H old gps.gpx,2004-06-20,11,K22,46.25880395,13.76843291,1907.6,0,,,Flag,1,405054,125078
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,117,K6,46.257594936,13.763285922,1867.0,1,K6,"K6: SLO(404655.4,404655.4)",Waypoint,2,404655,124950
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,116,K7,46.259044837,13.768394860,,0,K7,"K7: SLO(405051.8,405051.8)",Waypoint,2,405052,125105
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,115,K8,46.258844929,13.768264856,,0,K8,"K8: SLO(405041.4,405041.4)",Waypoint,2,405041,125083
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,114,K9,46.257944964,13.768854858,,0,K9,"K9: SLO(405085.4,405085.4)",Waypoint,2,405085,124982
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,113,K99,46.257923925,13.770480193,1847.5,0,K99,"K99: SLO(405210.6,405210.6)",Flag,2,405211,124978
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,112,KAL,46.242596945,13.755877996,,0,KAL,"KAL: SLO(404058.2,404058.2)",Waypoint,2,404058,123292
old ICCC gps.gpx,2004-06-24,7,KLF,46.25063000,13.76565792,1804.5,0,,,Bank,1,404826,124173
